Col_ID,Description,Flag for Removal,Flag for Rename,Category,Rename ideas,
MEM_shcoeffs_L11M2C_lcc,,Y,,,,
MEM_shcoeffs_L11M2S_lcc,,Y,,,,
MEM_shcoeffs_L11M3C_lcc,,Y,,,,
MEM_shcoeffs_L11M3S_lcc,,Y,,,,
MEM_shcoeffs_L11M4C_lcc,,Y,,,,
MEM_shcoeffs_L11M4S_lcc,,Y,,,,
MEM_shcoeffs_L11M5C_lcc,,Y,,,,
MEM_shcoeffs_L11M5S_lcc,,Y,,,,
MEM_shcoeffs_L11M6C_lcc,,Y,,,,
MEM_shcoeffs_L11M6S_lcc,,Y,,,,
MEM_shcoeffs_L11M7C_lcc,,Y,,,,
MEM_shcoeffs_L11M7S_lcc,,Y,,,,
MEM_shcoeffs_L11M8C_lcc,,Y,,,,
MEM_shcoeffs_L11M8S_lcc,,Y,,,,
MEM_shcoeffs_L11M9C_lcc,,Y,,,,
MEM_shcoeffs_L11M9S_lcc,,Y,,,,
MEM_shcoeffs_L12M0C_lcc,,Y,,,,
MEM_shcoeffs_L12M0S_lcc,,Y,,,,
MEM_shcoeffs_L12M10C_lcc,,Y,,,,
MEM_shcoeffs_L12M10S_lcc,,Y,,,,
MEM_shcoeffs_L12M11C_lcc,,Y,,,,
MEM_shcoeffs_L12M11S_lcc,,Y,,,,
MEM_shcoeffs_L12M12C_lcc,,Y,,,,
MEM_shcoeffs_L12M12S_lcc,,Y,,,,
MEM_shcoeffs_L12M13C_lcc,,Y,,,,
MEM_shcoeffs_L12M13S_lcc,,Y,,,,
MEM_shcoeffs_L12M14C_lcc,,Y,,,,
MEM_shcoeffs_L12M14S_lcc,,Y,,,,
MEM_shcoeffs_L12M15C_lcc,,Y,,,,
MEM_shcoeffs_L12M15S_lcc,,Y,,,,
MEM_shcoeffs_L12M16C_lcc,,Y,,,,
MEM_shcoeffs_L12M16S_lcc,,Y,,,,
MEM_shcoeffs_L12M1C_lcc,,Y,,,,
MEM_shcoeffs_L12M1S_lcc,,Y,,,,
MEM_shcoeffs_L12M2C_lcc,,Y,,,,
MEM_shcoeffs_L12M2S_lcc,,Y,,,,
MEM_shcoeffs_L12M3C_lcc,,Y,,,,
MEM_shcoeffs_L12M3S_lcc,,Y,,,,
MEM_shcoeffs_L12M4C_lcc,,Y,,,,
MEM_shcoeffs_L12M4S_lcc,,Y,,,,
MEM_shcoeffs_L12M5C_lcc,,Y,,,,
MEM_shcoeffs_L12M5S_lcc,,Y,,,,
MEM_shcoeffs_L12M6C_lcc,,Y,,,,
MEM_shcoeffs_L12M6S_lcc,,Y,,,,
MEM_shcoeffs_L12M7C_lcc,,Y,,,,
MEM_shcoeffs_L12M7S_lcc,,Y,,,,
MEM_shcoeffs_L12M8C_lcc,,Y,,,,
MEM_shcoeffs_L12M8S_lcc,,Y,,,,
MEM_shcoeffs_L12M9C_lcc,,Y,,,,
MEM_shcoeffs_L12M9S_lcc,,Y,,,,
MEM_shcoeffs_L13M0C_lcc,,Y,,,,
MEM_shcoeffs_L13M0S_lcc,,Y,,,,
MEM_shcoeffs_L13M10C_lcc,,Y,,,,
MEM_shcoeffs_L13M10S_lcc,,Y,,,,
MEM_shcoeffs_L13M11C_lcc,,Y,,,,
MEM_shcoeffs_L13M11S_lcc,,Y,,,,
MEM_shcoeffs_L13M12C_lcc,,Y,,,,
MEM_shcoeffs_L13M12S_lcc,,Y,,,,
MEM_shcoeffs_L13M13C_lcc,,Y,,,,
MEM_shcoeffs_L13M13S_lcc,,Y,,,,
MEM_shcoeffs_L13M14C_lcc,,Y,,,,
MEM_shcoeffs_L13M14S_lcc,,Y,,,,
MEM_shcoeffs_L13M15C_lcc,,Y,,,,
MEM_shcoeffs_L13M15S_lcc,,Y,,,,
MEM_shcoeffs_L13M16C_lcc,,Y,,,,
MEM_shcoeffs_L13M16S_lcc,,Y,,,,
MEM_shcoeffs_L13M1C_lcc,,Y,,,,
MEM_shcoeffs_L13M1S_lcc,,Y,,,,
MEM_shcoeffs_L13M2C_lcc,,Y,,,,
MEM_shcoeffs_L13M2S_lcc,,Y,,,,
MEM_shcoeffs_L13M3C_lcc,,Y,,,,
MEM_shcoeffs_L13M3S_lcc,,Y,,,,
MEM_shcoeffs_L13M4C_lcc,,Y,,,,
MEM_shcoeffs_L13M4S_lcc,,Y,,,,
MEM_shcoeffs_L13M5C_lcc,,Y,,,,
MEM_shcoeffs_L13M5S_lcc,,Y,,,,
MEM_shcoeffs_L13M6C_lcc,,Y,,,,
MEM_shcoeffs_L13M6S_lcc,,Y,,,,
MEM_shcoeffs_L13M7C_lcc,,Y,,,,
MEM_shcoeffs_L13M7S_lcc,,Y,,,,
MEM_shcoeffs_L13M8C_lcc,,Y,,,,
MEM_shcoeffs_L13M8S_lcc,,Y,,,,
MEM_shcoeffs_L13M9C_lcc,,Y,,,,
MEM_shcoeffs_L13M9S_lcc,,Y,,,,
MEM_shcoeffs_L14M0C_lcc,,Y,,,,
MEM_shcoeffs_L14M0S_lcc,,Y,,,,
MEM_shcoeffs_L14M10C_lcc,,Y,,,,
MEM_shcoeffs_L14M10S_lcc,,Y,,,,
MEM_shcoeffs_L14M11C_lcc,,Y,,,,
MEM_shcoeffs_L14M11S_lcc,,Y,,,,
MEM_shcoeffs_L14M12C_lcc,,Y,,,,
MEM_shcoeffs_L14M12S_lcc,,Y,,,,
MEM_shcoeffs_L14M13C_lcc,,Y,,,,
MEM_shcoeffs_L14M13S_lcc,,Y,,,,
MEM_shcoeffs_L14M14C_lcc,,Y,,,,
MEM_shcoeffs_L14M14S_lcc,,Y,,,,
MEM_shcoeffs_L14M15C_lcc,,Y,,,,
MEM_shcoeffs_L14M15S_lcc,,Y,,,,
MEM_shcoeffs_L14M16C_lcc,,Y,,,,
MEM_shcoeffs_L14M16S_lcc,,Y,,,,
MEM_shcoeffs_L14M1C_lcc,,Y,,,,
MEM_shcoeffs_L14M1S_lcc,,Y,,,,
MEM_shcoeffs_L14M2C_lcc,,Y,,,,
MEM_shcoeffs_L14M2S_lcc,,Y,,,,
MEM_shcoeffs_L14M3C_lcc,,Y,,,,
MEM_shcoeffs_L14M3S_lcc,,Y,,,,
MEM_shcoeffs_L14M4C_lcc,,Y,,,,
MEM_shcoeffs_L14M4S_lcc,,Y,,,,
MEM_shcoeffs_L14M5C_lcc,,Y,,,,
MEM_shcoeffs_L14M5S_lcc,,Y,,,,
MEM_shcoeffs_L14M6C_lcc,,Y,,,,
MEM_shcoeffs_L14M6S_lcc,,Y,,,,
MEM_shcoeffs_L14M7C_lcc,,Y,,,,
MEM_shcoeffs_L14M7S_lcc,,Y,,,,
MEM_shcoeffs_L14M8C_lcc,,Y,,,,
MEM_shcoeffs_L14M8S_lcc,,Y,,,,
MEM_shcoeffs_L14M9C_lcc,,Y,,,,
MEM_shcoeffs_L14M9S_lcc,,Y,,,,
MEM_shcoeffs_L15M0C_lcc,,Y,,,,
MEM_shcoeffs_L15M0S_lcc,,Y,,,,
MEM_shcoeffs_L15M10C_lcc,,Y,,,,
MEM_shcoeffs_L15M10S_lcc,,Y,,,,
MEM_shcoeffs_L15M11C_lcc,,Y,,,,
MEM_shcoeffs_L15M11S_lcc,,Y,,,,
MEM_shcoeffs_L15M12C_lcc,,Y,,,,
MEM_shcoeffs_L15M12S_lcc,,Y,,,,
MEM_shcoeffs_L15M13C_lcc,,Y,,,,
MEM_shcoeffs_L15M13S_lcc,,Y,,,,
MEM_shcoeffs_L15M14C_lcc,,Y,,,,
MEM_shcoeffs_L15M14S_lcc,,Y,,,,
MEM_shcoeffs_L15M15C_lcc,,Y,,,,
MEM_shcoeffs_L15M15S_lcc,,Y,,,,
MEM_shcoeffs_L15M16C_lcc,,Y,,,,
MEM_shcoeffs_L15M16S_lcc,,Y,,,,
MEM_shcoeffs_L15M1C_lcc,,Y,,,,
MEM_shcoeffs_L15M1S_lcc,,Y,,,,
MEM_shcoeffs_L15M2C_lcc,,Y,,,,
MEM_shcoeffs_L15M2S_lcc,,Y,,,,
MEM_shcoeffs_L15M3C_lcc,,Y,,,,
MEM_shcoeffs_L15M3S_lcc,,Y,,,,
MEM_shcoeffs_L15M4C_lcc,,Y,,,,
MEM_shcoeffs_L15M4S_lcc,,Y,,,,
MEM_shcoeffs_L15M5C_lcc,,Y,,,,
MEM_shcoeffs_L15M5S_lcc,,Y,,,,
MEM_shcoeffs_L15M6C_lcc,,Y,,,,
MEM_shcoeffs_L15M6S_lcc,,Y,,,,
